time,force,velocity,power,torque,motor_current,soc_lipo,soc_nmc,voltage_lipo,voltage_nmc
2.478,356.53512161480415,9.332466270167556,500.0,122.25589320171633,12.52299161819589,0.9997605557621151,0.9998204168215863,41.66535517782095,41.70642005787426
3.6130000000000004,29.738629423532025,9.08288989413087,270.112696656302,10.197376029329131,6.798250686219421,0.9997010186129727,0.9997757639597294,41.81784128598865,41.83965500767947
8.993,64.52089006133642,9.68822013034053,500.0,22.124213202032255,11.988737695846904,0.9992033379894877,0.9994025034921157,41.677976730580085,41.71568198053646
12.593,67.12947077670438,10.157863312030978,500.0,23.018695529331932,11.99372819687267,0.9988701788729079,0.9991526341546808,41.67687193646271,41.71364987059219
16.155,0.0,7.180186126134659,0.0,0.0,0.0,0.9988701788729079,0.9991526341546808,41.99670468837932,41.99350352851922
19.506,10.719616694138917,7.135138929388938,76.48595438247814,3.6757565644202344,2.4505043762801564,0.9988068174518823,0.9991051130889116,41.931173100867184,41.935960764901786
25.011,28.03119394389526,7.286904491493566,204.26063305169762,9.611896403361685,6.4079309355744565,0.998534628718855,0.9989009715391411,41.82484784214801,41.84205572663668
29.026,117.92539077273202,10.439383013097542,500.0,40.43661649596981,12.08405100784056,0.9981602655645612,0.9986201991734208,41.67239274768755,41.70746033681328
30.034,69.99878011154749,10.885808561597987,500.0,24.002581700249632,11.99963860611517,0.9980669350420691,0.9985502012815518,41.674371531042965,41.70889330901588
31.689999999999998,33.42232150101005,10.600844251746201,354.3048247639959,11.460514042696346,7.640342695130897,0.9979693084409647,0.9984769813307235,41.79033467774932,41.81004886064916
34.178999999999995,66.67497706935825,10.838762849895549,500.0,22.86284963708294,11.993966606064273,0.997738961350822,0.9983042210131164,41.673566194444845,41.70713980695906
36.766,35.71256409094493,10.36101156527871,370.0182895720376,12.245838226785017,8.16389215119001,0.9975759984727731,0.9981819988545798,41.775226204847186,41.79557117435734
38.524,66.22286081083689,10.686348553772875,500.0,22.70781897203597,11.993503713136494,0.9974133088159236,0.9980599816119426,41.67262871836281,41.70527810571838
44.319,69.39185699505978,10.554211106897581,500.0,23.794467763605997,11.999200548808018,0.9968767704889148,0.9976575778666861,41.67091189929112,41.70206008417241
46.220000000000006,43.29916235869611,10.30384481549845,446.1478495850766,14.847282772796895,9.89818851519793,0.9967315817823762,0.9975486863367822,41.726515419793316,41.75024886322738
50.04200000000001,49.91856509814443,9.759201767096826,487.16534871674907,17.117075972153724,11.411383981435817,0.9963950516158866,0.997296288711915,41.685181994374716,41.71300592055784
51.05900000000001,0.0,9.110770813809577,0.0,0.0,0.0,0.9963950516158866,0.997296288711915,41.989485567213,41.979271546791345
52.16100000000001,117.40840399700757,9.995639061558753,500.0,40.259341730573894,12.084953178735008,0.9962922922146291,0.9972192191609719,41.666920434193074,41.69669843939697
55.08500000000001,58.43853963199351,9.691303212091372,500.0,20.038575239810573,11.980942294256941,0.9960219814486692,0.997016486086502,41.66890565137843,41.69757107313052
56.50900000000001,69.9115399940843,9.846161363588273,500.0,23.972667063971503,12.00128172783822,0.9958901155136349,0.9969175866352262,41.66797865750575,41.69633825722051
57.940000000000005,65.21298545636903,9.920015995369383,500.0,22.36153271298894,11.993147266025321,0.9957576911792393,0.9968182683844294,41.66780933884544,41.6957666214067
61.64600000000001,56.56415165900434,9.49983252136027,500.0,19.395847603872586,11.978110282091551,0.9954151689824381,0.9965613767368285,41.66721130200967,41.69414798173355
65.99300000000001,55.06364012906352,9.147909530787029,500.0,18.88132220025588,11.975772640420105,0.9950134816084574,0.996260111206343,41.6661020509468,41.6918928243055
66.74100000000001,0.0,8.41101541320537,0.0,0.0,0.0,0.9950134816084574,0.996260111206343,41.98545598802467,41.97132751924863
73.43700000000001,42.18056498645096,7.695661507189687,324.60735031774374,14.463715733854034,9.64247715590269,0.9945152869554024,0.9958864652165517,41.726870196129184,41.74347176635583
73.77100000000002,102.7736816897287,8.086863730078397,500.0,35.24109545140797,12.060545514058854,0.9944842049939695,0.9958631537454771,41.662297717524176,41.68687145005395
78.26600000000002,34.80130795790747,7.407152274622133,257.77858740023964,11.93336849876647,7.955578999177646,0.9942082765402558,0.9956562074051918,41.77095869993101,41.78106741345899
85.39900000000002,43.409322059535455,7.072675535818531,307.02005015694414,14.885056534214707,9.923371022809805,0.9936621082878969,0.9952465812159227,41.71689125523143,41.73201179878985
92.62800000000001,78.06051886465684,8.633393826024133,500.0,26.76695191869083,12.017596387819708,0.9929917749214806,0.9947438311911105,41.65909010651246,41.679292123416054
95.54200000000002,53.71913853371174,8.496991739881327,456.4510763944894,18.420292603209756,12.280195068806504,0.9927156600416156,0.9945367450312118,41.65128213995321,41.67157716030047
97.36000000000001,78.36595530825424,8.859356973348149,500.0,26.87168607520038,12.018931698658692,0.9925470611386206,0.9944102958539655,41.657757416356745,41.6767038619117
